M1744730,第二外语（法语）Ⅰ
B1703830,第二外语（法语）Ⅲ
B1703040,第二外语（日语）Ⅰ
B1703330,第二外语（日语）Ⅱ
B1703630,第二外语（日语）Ⅲ
M1744530,第二外语（日语）I
B1704020,第二外语（英语）II
B1704320,第二外语（英语）V
H0205425,电波传播
G0203130,电波传播与散射
G1211230,电波传播与天线
K0206230,电波与天线综合实验
E0200445,电磁场理论
G0205320,电磁场数学方法
H0205230,电磁场数值方法
E0201440,电磁场与波
E2700445,电磁场与波
E0201530,电磁场与波B
G0203520,电磁兼容原理与设计
D1200840,电磁学
E1201340,电动力学
I1010120,电动汽车动力及电子系统初探
E0405245,电机与电力拖动技术
R0425440,电机与电力拖动技术
G0200635,电介质物理
G0212230,电介质物理
G0217430,电介质物理与磁性物理
E0405340,电力电子技术
H0620125,电力电子技术基础
H0204120,电力电子器件基础
UoG13014,电力工程
G0405835,电力拖动自动控制系统
G0416230,电力系统分析
UoG12018,电路分析
E0200140,电路分析基础
E0201345,电路分析基础
E2700155,电路分析基础
P0222150,电路分析与电子线路
R0212450,电路分析与电子线路
R0214240,电路分析与电子线路
F0801135,电路分析与模拟电路
UoG22002,电路分析与设计
S0212110,电路实验 I
IntS0200420,电路实验 II
S0212220,电路实验 II
K0210510,电路实验基础 I
K0210910,电路实验基础 II
E0409140,电路与电子技术基础
H0610920,电路与电子系统故障诊断
G0405730,电气测量
F0405415,电气工程概论
F0416010,电气工程概论
G0600435,电气控制与PLC
S0600415,电气控制与PLC课程设计
H0620230,电气控制与PLC原理及应用
H0201420,电子材料Ⅱ
E0206420,电子测量原理
G0610170,电子测量原理与测试系统
H0308520,电子电镀技术
E0100160,电子电路基础
E1409120,电子电路基础
E2704360,电子电路基础
F0912840,电子电路基础
F0917645,电子电路基础
H0110720,电子电路基础
R0111950,电子电路基础
K0206310,电子电路实验
A0602320,电子工程设计之电子系统专题设计与制作
A0110620,电子工程设计之微处理器最小系统设计
F0202130,电子工程数学方法
G0312720,电子工艺化学原理
E0401140,电子技术基础
K0210710,电子技术实验 I
K0210810,电子技术实验Ⅱ
K0200710,电子技术实验基础 I
K0200810,电子技术实验基础 II
K0200910,电子技术应用实验 I
K0201010,电子技术应用实验Ⅱ
S0600315,电子技术综合设计与实践
H0502240,电子离子光学
UoG13004,电子器件
F0201030,电子器件基础
G1502320,电子商务概论
H1505220,电子商务物流管理
G0212025,电子设计自动化技术A
