H0111520,物联网与传感技术
H0111620,现代雷达探测基础
H0111720,计算机网络与通信技术
H0200110,新技术专题（一）软磁铁氧体及超导技术
H0200130,软件技术基础
H0200220,单片机原理及应用
H0200310,新技术专题（三）新型滤波器及其应用
H0200410,微电子技术学科前沿（一）
H0200730,Matlab与数值分析
H0200910,新技术专题（二）隐身技术与电子陶瓷材料
H0201010,无线系统专业认知与未来
H0201320,电子材料Ⅰ
H0201420,电子材料Ⅱ
H0201510,电源与功率集成电路导论
H0201625,集成电路及功能芯片工艺
H0201820,微电子工艺实验
H0201920,高级语言程序设计
H0202020,电子材料工艺原理
H0202030,微波技术
H0202230,高频电路
H0202420,纳米材料与纳米器件
H0202520,薄膜物理与技术
H0202620,传感技术
H0202630,单片机原理与应用
H0202730,集成电子学
H0202820,半导体光电器件
H0202830,射频电子线路
H0203920,频率合成技术
H0204320,电子信息工程综合实验
H0204430,微电子与集成电路设计
H0205230,电磁场数值方法
H0205425,电波传播
H0205520,片上系统(SoC)技术
H0205720,微波电路EDA
H0205820,微带天线
H0207920,粒子和微观结构表征
H0209110,计算电磁学前沿
H0209310,频率源技术前沿讲座
H0209410,微波电路与系统发展趋势
H0211110,电子测量技术实验
H0211320,天线及工程应用
H0211630,电子测量技术
H0211815,高级语言程序设计
H0213510,多标准化通信系统
H0213720,功率集成电路和微电子封装前沿技术
H0213910,新能源前沿技术
H0215410,二维材料发展动态
H0215610,微纳电子学前沿技术
H0216220,射频集成电路
H0217320,微电子器件基础
H0217730,基于集成运放的应用电路设计与实现
H0219020,模拟集成电路
H0300615,创新训练与实践（一）
H0301330,高级语言程序设计
H0301430,软件技术基础
H0303120,节能技术与应用
H0303230,微波技术和应用
H0303425,半导体器件工艺
H0303625,太阳能电池基础及应用
H0303910,新能源技术专题
H0306510,新能源动力系统技术
H0308330,纳米材料的设计与合成
H0311320,制造工艺及操作规范
H0318030,镀铜添加剂的合成、表征与性能测试
H0378020,能源科学与工程概论
H0400130,高级语言程序设计
H0400420,高级语言程序设计
H0400810,智能电网新技术
H0400925,发电厂电气系统
H0401020,电力系统继电保护原理
H0401530,传感器与检测技术
H0401630,数字信号处理
H0401720,线性系统理论
H0403320,传热学基础
H0403620,液压与气动技术
H0403720,现代汽车技术
H0404220,微机电系统
H0404320,工业控制网络技术
H0404620,机械故障诊断技术
H0404730,软件技术基础
H0404820,工程经济
H0405210,能源经济学
H0406420,电力市场
H0406610,智能电网与能源互联网
H0406620,电磁兼容
H0406720,电气控制及PLC
H0407625,电力系统分析（稳态部分）
H0408625,管理信息系统
H0408720,项目管理
H0408920,先进制造系统
H0409020,会计学与财务管理
H0413820,机器人与人工智能
H0415225,工程优化
